,topic,gujlish,english
1307,Discussing a new Bollywood movie,Navi movie joyi? Bahu maja avi!,Watched the new movie? It was really fun!
1308,Debating street food vs. restaurant food,Street food tasty hoy pan hygiene kharab hoy.,Street food is tasty but the hygiene is poor.
1309,Planning a trip to Goa,Goa java nu plan banaviye?,Shall we plan a trip to Goa?
1310,Talking about Diwali preparations,Diwali mate shopping kari?,Did you shop for Diwali?
1311,Sharing fitness and gym experiences,Gym java thi energy vadhe che.,Going to the gym boosts energy.
1312,Discussing weekend plans,Aa weekend su plan che?,What are the plans for this weekend?
1313,Discussing a friend's recent wedding,Ravi ni shaadi ma maja avi ne!,Ravi's wedding was so much fun!
1314,Debating street food vs. restaurant food,Street food tasty hoy pan hygiene kharab hoy.,Street food is tasty but the hygiene is poor.
1315,Discussing a new Bollywood movie,Navi movie joyi? Bahu maja avi!,Watched the new movie? It was really fun!
1316,Sharing fitness and gym experiences,Gym java thi energy vadhe che.,Going to the gym boosts energy.
1317,Talking about changes in weather,Aaje bau thandi laage che.,It's feeling really cold today.
1318,Complaining about the Delhi traffic,Delhi no traffic to pagal kari de!,Delhi's traffic drives you crazy!
1319,Talking about changes in weather,Aaje bau thandi laage che.,It's feeling really cold today.
1320,Complaining about the Delhi traffic,Delhi no traffic to pagal kari de!,Delhi's traffic drives you crazy!
1321,Debating street food vs. restaurant food,Street food tasty hoy pan hygiene kharab hoy.,Street food is tasty but the hygiene is poor.
1322,Talking about changes in weather,Aaje bau thandi laage che.,It's feeling really cold today.
1323,Talking about Diwali preparations,Diwali mate shopping kari?,Did you shop for Diwali?
1324,Sharing fitness and gym experiences,Gym java thi energy vadhe che.,Going to the gym boosts energy.
1325,Discussing a new Bollywood movie,Navi movie joyi? Bahu maja avi!,Watched the new movie? It was really fun!
1326,Asking for directions to a nearby landmark,Mandir kya taraf che?,Which way is the temple?
1327,Talking about Diwali preparations,Diwali mate shopping kari?,Did you shop for Diwali?
1328,Asking for directions to a nearby landmark,Mandir kya taraf che?,Which way is the temple?
1329,Discussing a new Bollywood movie,Navi movie joyi? Bahu maja avi!,Watched the new movie? It was really fun!
1330,Comparing old songs to new remixes,Old songs ni vibe alag j hoy.,Old songs have a different vibe altogether.
1331,Ordering food at a restaurant,Ek pizza ane cold drink lai aavjo.,Please get one pizza and a cold drink.
1332,Talking about changes in weather,Aaje bau thandi laage che.,It's feeling really cold today.
1333,Complaining about the Delhi traffic,Delhi no traffic to pagal kari de!,Delhi's traffic drives you crazy!
1334,Discussing a new Bollywood movie,Navi movie joyi? Bahu maja avi!,Watched the new movie? It was really fun!
1335,Discussing weekend plans,Aa weekend su plan che?,What are the plans for this weekend?
1336,Talking about changes in weather,Aaje bau thandi laage che.,It's feeling really cold today.
1337,Asking for directions to a nearby landmark,Mandir kya taraf che?,Which way is the temple?
1338,Ordering food at a restaurant,Ek pizza ane cold drink lai aavjo.,Please get one pizza and a cold drink.
1339,Planning a trip to Goa,Goa java nu plan banaviye?,Shall we plan a trip to Goa?
1340,Talking about Diwali preparations,Diwali mate shopping kari?,Did you shop for Diwali?
1341,Ordering food at a restaurant,Ek pizza ane cold drink lai aavjo.,Please get one pizza and a cold drink.
1342,Talking about Diwali preparations,Diwali mate shopping kari?,Did you shop for Diwali?
1343,Complaining about the Delhi traffic,Delhi no traffic to pagal kari de!,Delhi's traffic drives you crazy!
1344,Sharing fitness and gym experiences,Gym java thi energy vadhe che.,Going to the gym boosts energy.
1345,Complaining about the Delhi traffic,Delhi no traffic to pagal kari de!,Delhi's traffic drives you crazy!
1346,Sharing fitness and gym experiences,Gym java thi energy vadhe che.,Going to the gym boosts energy.
1347,Discussing weekend plans,Aa weekend su plan che?,What are the plans for this weekend?
1348,Debating street food vs. restaurant food,Street food tasty hoy pan hygiene kharab hoy.,Street food is tasty but the hygiene is poor.
1349,Discussing weekend plans,Aa weekend su plan che?,What are the plans for this weekend?
1350,Discussing a new Bollywood movie,Navi movie joyi? Bahu maja avi!,Watched the new movie? It was really fun!
1351,Talking about Diwali preparations,Diwali mate shopping kari?,Did you shop for Diwali?
1352,Discussing a new Bollywood movie,Navi movie joyi? Bahu maja avi!,Watched the new movie? It was really fun!
1353,Complaining about the Delhi traffic,Delhi no traffic to pagal kari de!,Delhi's traffic drives you crazy!
1354,Asking for directions to a nearby landmark,Mandir kya taraf che?,Which way is the temple?
1355,Discussing a friend's recent wedding,Ravi ni shaadi ma maja avi ne!,Ravi's wedding was so much fun!
1356,Planning a trip to Goa,Goa java nu plan banaviye?,Shall we plan a trip to Goa?
1357,Discussing a friend's recent wedding,Ravi ni shaadi ma maja avi ne!,Ravi's wedding was so much fun!
1358,Asking for directions to a nearby landmark,Mandir kya taraf che?,Which way is the temple?
1359,Discussing weekend plans,Aa weekend su plan che?,What are the plans for this weekend?
1360,Comparing old songs to new remixes,Old songs ni vibe alag j hoy.,Old songs have a different vibe altogether.
1361,Talking about a recent cricket match,Kal nu match joyu? Virat superb ramyo!,Did you watch yesterday's match? Virat played superbly!
1362,Discussing a new Bollywood movie,Navi movie joyi? Bahu maja avi!,Watched the new movie? It was really fun!
1363,Discussing a new Bollywood movie,Navi movie joyi? Bahu maja avi!,Watched the new movie? It was really fun!
1364,Talking about a recent cricket match,Kal nu match joyu? Virat superb ramyo!,Did you watch yesterday's match? Virat played superbly!
1365,Ordering food at a restaurant,Ek pizza ane cold drink lai aavjo.,Please get one pizza and a cold drink.
1366,Ordering food at a restaurant,Ek pizza ane cold drink lai aavjo.,Please get one pizza and a cold drink.
1367,Discussing weekend plans,Aa weekend su plan che?,What are the plans for this weekend?
1368,Talking about a recent cricket match,Kal nu match joyu? Virat superb ramyo!,Did you watch yesterday's match? Virat played superbly!
1369,Asking for directions to a nearby landmark,Mandir kya taraf che?,Which way is the temple?
1370,Discussing a new Bollywood movie,Navi movie joyi? Bahu maja avi!,Watched the new movie? It was really fun!
1371,Discussing a friend's recent wedding,Ravi ni shaadi ma maja avi ne!,Ravi's wedding was so much fun!
1372,Sharing fitness and gym experiences,Gym java thi energy vadhe che.,Going to the gym boosts energy.
1373,Discussing a friend's recent wedding,Ravi ni shaadi ma maja avi ne!,Ravi's wedding was so much fun!
1374,Debating street food vs. restaurant food,Street food tasty hoy pan hygiene kharab hoy.,Street food is tasty but the hygiene is poor.
1375,Talking about a recent cricket match,Kal nu match joyu? Virat superb ramyo!,Did you watch yesterday's match? Virat played superbly!
1376,Discussing a new Bollywood movie,Navi movie joyi? Bahu maja avi!,Watched the new movie? It was really fun!
1377,Asking for directions to a nearby landmark,Mandir kya taraf che?,Which way is the temple?
1378,Complaining about the Delhi traffic,Delhi no traffic to pagal kari de!,Delhi's traffic drives you crazy!
1379,Planning a trip to Goa,Goa java nu plan banaviye?,Shall we plan a trip to Goa?
1380,Asking for directions to a nearby landmark,Mandir kya taraf che?,Which way is the temple?
1381,Sharing fitness and gym experiences,Gym java thi energy vadhe che.,Going to the gym boosts energy.
1382,Ordering food at a restaurant,Ek pizza ane cold drink lai aavjo.,Please get one pizza and a cold drink.
1383,Talking about a recent cricket match,Kal nu match joyu? Virat superb ramyo!,Did you watch yesterday's match? Virat played superbly!
1384,Sharing fitness and gym experiences,Gym java thi energy vadhe che.,Going to the gym boosts energy.
1385,Complaining about the Delhi traffic,Delhi no traffic to pagal kari de!,Delhi's traffic drives you crazy!
1386,Asking for directions to a nearby landmark,Mandir kya taraf che?,Which way is the temple?
1387,Debating street food vs. restaurant food,Street food tasty hoy pan hygiene kharab hoy.,Street food is tasty but the hygiene is poor.
1388,Discussing a new Bollywood movie,Navi movie joyi? Bahu maja avi!,Watched the new movie? It was really fun!
1389,Talking about Diwali preparations,Diwali mate shopping kari?,Did you shop for Diwali?
1390,Talking about a recent cricket match,Kal nu match joyu? Virat superb ramyo!,Did you watch yesterday's match? Virat played superbly!
1391,Debating street food vs. restaurant food,Street food tasty hoy pan hygiene kharab hoy.,Street food is tasty but the hygiene is poor.
1392,Planning a trip to Goa,Goa java nu plan banaviye?,Shall we plan a trip to Goa?
1393,Talking about changes in weather,Aaje bau thandi laage che.,It's feeling really cold today.
1394,Planning a trip to Goa,Goa java nu plan banaviye?,Shall we plan a trip to Goa?
1395,Discussing a new Bollywood movie,Navi movie joyi? Bahu maja avi!,Watched the new movie? It was really fun!
1396,Talking about Diwali preparations,Diwali mate shopping kari?,Did you shop for Diwali?
1397,Debating street food vs. restaurant food,Street food tasty hoy pan hygiene kharab hoy.,Street food is tasty but the hygiene is poor.
1398,Comparing old songs to new remixes,Old songs ni vibe alag j hoy.,Old songs have a different vibe altogether.
1399,Discussing a friend's recent wedding,Ravi ni shaadi ma maja avi ne!,Ravi's wedding was so much fun!
1400,Planning a trip to Goa,Goa java nu plan banaviye?,Shall we plan a trip to Goa?
1401,Comparing old songs to new remixes,Old songs ni vibe alag j hoy.,Old songs have a different vibe altogether.
1402,Ordering food at a restaurant,Ek pizza ane cold drink lai aavjo.,Please get one pizza and a cold drink.
1403,Discussing a friend's recent wedding,Ravi ni shaadi ma maja avi ne!,Ravi's wedding was so much fun!
1404,Comparing old songs to new remixes,Old songs ni vibe alag j hoy.,Old songs have a different vibe altogether.
1405,Debating street food vs. restaurant food,Street food tasty hoy pan hygiene kharab hoy.,Street food is tasty but the hygiene is poor.
1406,Planning a trip to Goa,Goa java nu plan banaviye?,Shall we plan a trip to Goa?
1407,Planning a trip to Goa,Goa java nu plan banaviye?,Shall we plan a trip to Goa?
1408,Comparing old songs to new remixes,Old songs ni vibe alag j hoy.,Old songs have a different vibe altogether.
1409,Ordering food at a restaurant,Ek pizza ane cold drink lai aavjo.,Please get one pizza and a cold drink.
1410,Discussing weekend plans,Aa weekend su plan che?,What are the plans for this weekend?
1411,Discussing a new Bollywood movie,Navi movie joyi? Bahu maja avi!,Watched the new movie? It was really fun!
1412,Debating street food vs. restaurant food,Street food tasty hoy pan hygiene kharab hoy.,Street food is tasty but the hygiene is poor.
1413,Talking about Diwali preparations,Diwali mate shopping kari?,Did you shop for Diwali?
1414,Sharing fitness and gym experiences,Gym java thi energy vadhe che.,Going to the gym boosts energy.
1415,Discussing a friend's recent wedding,Ravi ni shaadi ma maja avi ne!,Ravi's wedding was so much fun!
1416,Complaining about the Delhi traffic,Delhi no traffic to pagal kari de!,Delhi's traffic drives you crazy!
1417,Talking about a recent cricket match,Kal nu match joyu? Virat superb ramyo!,Did you watch yesterday's match? Virat played superbly!
1418,Discussing weekend plans,Aa weekend su plan che?,What are the plans for this weekend?
1419,Discussing a friend's recent wedding,Ravi ni shaadi ma maja avi ne!,Ravi's wedding was so much fun!
1420,Talking about a recent cricket match,Kal nu match joyu? Virat superb ramyo!,Did you watch yesterday's match? Virat played superbly!
1421,Complaining about the Delhi traffic,Delhi no traffic to pagal kari de!,Delhi's traffic drives you crazy!
1422,Asking for directions to a nearby landmark,Mandir kya taraf che?,Which way is the temple?
1423,Planning a trip to Goa,Goa java nu plan banaviye?,Shall we plan a trip to Goa?
1424,Talking about Diwali preparations,Diwali mate shopping kari?,Did you shop for Diwali?
1425,Discussing weekend plans,Aa weekend su plan che?,What are the plans for this weekend?
1426,Talking about changes in weather,Aaje bau thandi laage che.,It's feeling really cold today.
1427,Talking about changes in weather,Aaje bau thandi laage che.,It's feeling really cold today.
1428,Complaining about the Delhi traffic,Delhi no traffic to pagal kari de!,Delhi's traffic drives you crazy!
1429,Discussing a new Bollywood movie,Navi movie joyi? Bahu maja avi!,Watched the new movie? It was really fun!
